timestamp,zone_id,ph,Hardness,Solids,Turbidity,Chlorine,Dissolved_Oxygen,UV254,ORP,Temperature,contamination_level
2025-01-01 00:00:00,Zone-1,7.081127983,204.8904555,362.1780832,2.963135381,0.874172214,8.45528398,0.153437183,257.4749856,7.737517078,1
2025-01-01 01:00:00,Zone-1,3.716080075,129.4229205,362.1780832,4.500656275,1.911285752,4.374674608,0.19148328,695.0094506,18.09345196,3
2025-01-01 02:00:00,Zone-1,8.099124189,224.2362594,362.1780832,3.05593375,1.517589095,4.374674608,0.055628803,372.4767542,22.45373794,3
2025-01-01 03:00:00,Zone-1,8.316765884,214.3733941,362.1780832,4.628770537,1.277585272,8.45528398,0.071469677,614.8498137,20.66220713,2
2025-01-01 04:00:00,Zone-1,9.092223456,181.1015092,1180.285723,4.075075425,0.480833553,8.45528398,0.044924449,655.5076875,14.92725749,3
2025-01-01 05:00:00,Zone-1,5.584086638,188.3133238,362.1780832,2.559708228,0.480790137,8.45528398,0.119617863,679.4931955,21.27337418,3
2025-01-01 06:00:00,Zone-1,10.22386216,248.0717353,362.1780832,2.672988737,0.304550502,4.374674608,0.039419865,745.7971178,33.76402863,3
2025-01-01 07:00:00,Zone-1,8.635848719,203.3615226,362.1780832,4.401424715,1.759117062,4.374674608,0.077676849,397.019855,11.18052213,3
2025-01-01 08:00:00,Zone-1,7.081127983,118.9885791,1785.595153,3.595017181,1.282007021,8.45528398,0.142432473,605.121671,24.64494075,3
2025-01-01 09:00:00,Zone-1,11.18028447,227.2314692,1180.285723,4.370561937,1.47453064,8.45528398,0.116422037,307.6999291,6.301900825,3
2025-01-01 10:00:00,Zone-1,7.360640106,165.5207973,362.1780832,3.662291783,0.23705209,4.374674608,0.083427887,453.4046457,6.992492134,1
2025-01-01 11:00:00,Zone-1,7.974521649,218.6933005,362.1780832,4.011718108,1.945837734,8.45528398,0.089847424,673.9858467,21.55484673,3
2025-01-01 12:00:00,Zone-1,7.119824384,156.7049933,362.1780832,3.445756223,1.698396753,5.667256792,0.116801068,433.829023,8.14817541,3
2025-01-01 13:00:00,Zone-1,7.081127983,150.1749234,362.1780832,4.413974183,0.582210399,0.902588226,0.011114298,545.5476903,5.670403653,1
2025-01-01 14:00:00,Zone-1,7.496232208,205.3449822,362.1780832,4.777382337,0.527284941,8.45528398,0.024916875,501.8867219,10.14538993,1
2025-01-01 15:00:00,Zone-1,6.347271761,186.7328807,362.1780832,4.376348291,0.530128118,5.667256792,0.177439033,572.9757656,21.94547513,2
